num;G_State;G_City;G_Study;A1_Gender;A10_LevInc;A11_LevEdu_f;A12_LevEdu_m;A13_Rank1;PaysVis;Mixit;Nblang;VecuEtranger;D2_tot
1;BEL;BRU;ART;M;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;economy politics development bureaucrat decree
2;BEL;BRU;ART;M;Inc2;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_O;2lang;Vecu_etra_O;coldness white not welcoming colonizer 
3;BEL;BRU;ART;M;Inc3;EduF2;EduM2;(4) Sup;Nb_Vis5;Mixit_O;2lang;Vecu_etra_N;freedom trade culture tolerance globalism
4;BEL;BRU;ART;F;Inc4;EduF4;EduM4;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;union power traditions  
5;BEL;BRU;ART;M;Inc3;EduF3;EduM3;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;unity power social equality policy
6;BEL;BRU;ART;M;Inc4;EduF4;EduM4;(4) Sup;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_O;cultural rich   
7;BEL;BRU;ART;M;Inc3;EduF3;EduM3;(4) Sup;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;union policy agriculture energy brussels
8;BEL;BRU;ART;F;Inc2;EduF3;EduM3;(3) Nat;Nb_Vis_1a4;Mixit_O;3lang;Vecu_etra_N;economy mutual aid   
10;BEL;BRU;ART;F;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_O;3lang;Vecu_etra_O;occident european union brussels  
11;BEL;BRU;ART;M;Inc3;EduF2;EduM3;(4) Sup;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_O;together community euro border industrial
12;BEL;BRU;ART;F;Inc4;EduF4;EduM3;(4) Sup;Nb_Vis_1a4;Mixit_O;4+lang;Vecu_etra_O;practice home   
13;BEL;BRU;ART;M;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_O;3lang;Vecu_etra_N;history    
14;BEL;BRU;ART;F;Inc2;EduF3;EduM3;(6) Oth;Nb_Vis5;Mixit_O;3lang;Vecu_etra_N;unity peace economy treaty travel
15;BEL;BRU;ART;F;Inc3;EduF3;EduM3;(1) Loc;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_N;euro travel dependency relation 
16;BEL;BRU;ART;M;Inc4;EduF4;EduM3;(3) Nat;Nb_Vis5;Mixit_O;2lang;Vecu_etra_N;old continent    
17;BEL;BRU;ART;M;Inc4;EduF4;EduM4;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_O;continent economic power diversity  
19;BEL;BRU;ART;M;Inc2;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_N;2lang;Vecu_etra_O;euro union   
