;Term;Occurrences;Stopword
abaisse;abaisser;1;
abaisser;abaisser;1;
abandon;abandon;2;
abandonné;abandonné;1;
abandonnée;abandonné;2;
abandonnent;abandonner;1;
abandonner;abandonner;1;
abandonnés;abandonné;1;
abattues;abattu;1;
abattus;abattu;1;
abnégation;abnégation;1;
abord;abord;39;
aborde;aborder;1;
abordent;aborder;1;
aborder;aborder;5;
abordons;aborder;1;
aboutisse;aboutir;1;
aboutissent;aboutir;1;
aboutit;aboutir;1;
abri;abri;7;
absence;absence;2;
absentéisme;absentéisme;1;
absolue;absolu;1;
absolument;absolument;2;
absurde;absurde;1;
abus;abus;4;
abusent;abuser;1;
académie;académie;2;
accabler;accabler;1;
accablés;accablé;2;
accéder;accéder;2;
accélère;accélerer;1;
accélérée;accélerer;1;
accélérer;accélerer;3;
acceptable;acceptable;1;
acceptables;acceptable;1;
accepte;accepter;4;
accepté;accepté;1;
accepter;accepter;3;
accepterai;accepter;2;
acceptions;acceptions;1;
accès;accès;6;
accessible;accessible;1;
accidents;accident;3;
accompagne;accompagner;1;
accompagné;accompagné;2;
accompagnées;accompagné;1;
accompagnement;accompagnement;3;
accompagner;accompagner;5;
accompagnés;accompagné;1;
accompli;accompli;2;
accomplies;accompli;2;
accomplir;accomplir;1;
accomplis;accompli;1;
accomplissant;accomplissant;1;
accomplisse;accomplir;1;
accomplissement;accomplissement;1;
accomplissements;accomplissement;1;
accomplissent;accomplir;1;
accomplit;accomplir;1;
accord;accord;10;
accordée;accordée;1;
accordent;accorder;1;
accorder;accorder;1;
accordera;accorder;1;
accords;accord;4;
accoutumée;accoutumée;2;
accroissement;accroissement;1;
accroissent;accroissent;1;
accroît;accroître;1;
accroîtra;accroître;1;
accroître;accroître;3;
accrue;accru;1;
accueil;accueil;1;
accueillant;accueillant;1;
accueillante;accueillant;4;
accueille;accueillir;2;
accueillera;accueillir;1;
accueillerai;accueillir;1;
accueillir;accueillir;6;
accueillis;accueil;1;
accueillons;accueillir;1;
accumulées;accumulé;1;
accumulent;accumuler;1;
accumuler;accumuler;1;
accumulions;accumuler;1;
achat;achat;16;
achats;achat;1;
achète;acheter;1;
acheve;achever;1;
achève;achever;17;
achevée;achevé;2;
achever;achever;3;
acquérir;acquérir;1;
acquis;acquis;7;
acte;acte;2;
actes;acte;4;
acteur;acteur;3;
acteurs;acteur;2;
