num;G_State;G_City;G_Study;A1_Gender;A10_LevInc;EduF;EduM;Rank;PaysVis;Nblang;VecuEtranger;D2_tot
1;BEL;BRU;ART;M;Inc3;4;4;Nat;Vis5;3lang;etra_N;economy politics development bureaucrat decree
2;BEL;BRU;ART;M;Inc2;4;4;Glo;Vis5;2lang;etra_O;coldness white not welcoming colonizer 
3;BEL;BRU;ART;M;Inc3;2;2;Sup;Vis5;2lang;etra_N;freedom trade culture tolerance globalism
4;BEL;BRU;ART;F;Inc4;4;4;Nat;Vis5;3lang;etra_N;union power traditions  
5;BEL;BRU;ART;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;unity power social equality policy
6;BEL;BRU;ART;M;Inc4;4;4;Sup;Vis5;4+lang;etra_O;cultural rich   
7;BEL;BRU;ART;M;Inc3;3;3;Sup;Vis5;2lang;etra_N;union policy agriculture energy brussels
8;BEL;BRU;ART;F;Inc2;3;3;Nat;Vis_1a4;3lang;etra_N;economy mutual aid   
10;BEL;BRU;ART;F;Inc3;4;4;Glo;Vis5;3lang;etra_O;occident european union brussels  
11;BEL;BRU;ART;M;Inc3;2;3;Sup;Vis5;4+lang;etra_O;together community euro border industrial
12;BEL;BRU;ART;F;Inc4;4;3;Sup;Vis_1a4;4+lang;etra_O;practice home   
13;BEL;BRU;ART;M;Inc3;4;4;Glo;Vis5;3lang;etra_N;history    
14;BEL;BRU;ART;F;Inc2;3;3;Oth;Vis5;3lang;etra_N;unity peace economy treaty travel
15;BEL;BRU;ART;F;Inc3;3;3;Loc;Vis5;4+lang;etra_N;euro travel dependency relation 
16;BEL;BRU;ART;M;Inc4;4;3;Nat;Vis5;2lang;etra_N;old continent    
17;BEL;BRU;ART;M;Inc4;4;4;Nat;Vis5;3lang;etra_O;continent economic power diversity  
19;BEL;BRU;ART;M;Inc2;4;4;Glo;Vis5;2lang;etra_O;euro union   
20;BEL;BRU;ART;M;Inc4;4;4;Glo;Vis5;4+lang;etra_N;union neighbor power similar 
21;BEL;BRU;ART;M;Inc2;2;3;Loc;Vis5;3lang;etra_N;mediterranean colonizing country mix dynamic movement
22;BEL;BRU;ART;M;Inc3;4;4;Inf;Vis_1a4;4+lang;etra_O;union currency cultures  
23;BEL;BRU;ART;M;Inc2;2;3;Oth;Vis_1a4;3lang;etra_N;collaboration importance politic economy ethnicity
24;BEL;BRU;ART;F;Inc3;4;4;Nat;Vis5;3lang;etra_N;union sharing exchange  
25;BEL;BRU;ART;F;Inc3;4;3;Sup;Vis5;4+lang;etra_N;union euro transfer divergence 
27;BEL;BRU;ART;M;Inc3;3;3;Loc;Vis5;4+lang;etra_O;paris london old continent  
28;BEL;BRU;ART;F;;4;2;Glo;Vis5;4+lang;etra_N;exchange opening communication  
29;BEL;BRU;ART;F;Inc2;3;3;  .;Vis5;2lang;etra_N;economy anything great   
30;BEL;BRU;ART;F;Inc3;4;4;Loc;Vis5;3lang;etra_N;union community economy plurality exchange
31;BEL;BRU;ART;M;Inc2;4;2;Sup;Vis5;2lang;etra_O;diversity union problem euro 
32;BEL;BRU;ART;M;Inc2;1;2;Inf;Vis5;4+lang;etra_O;exchange connection cultures meeting solidarity
34;BEL;BRU;ART;F;Inc3;4;4;Glo;Vis_1a4;3lang;etra_O;trading monopoly opening to other continents culture mixing all african people dream euro
35;BEL;BRU;ART;M;Inc3;3;3;Glo;Vis5;2lang;etra_O;alliance international relations euro  
36;BEL;BRU;ART;F;Inc3;4;2;Loc;Vis5;2lang;etra_N;together diversity   
37;BEL;BRU;ART;M;Inc4;4;4;Glo;Vis5;3lang;etra_N;work tourism diversity economy 
39;BEL;BRU;ART;M;Inc2;2;2;Sup;Vis5;3lang;etra_O;union fraternity   
40;BEL;BRU;ART;F;Inc3;4;4;Glo;Vis5;4+lang;etra_O;euro diversity union education 
41;BEL;BRU;ART;F;Inc3;2;4;Mul;Vis5;2lang;etra_N;union opening development economy diversity
42;BEL;LGG;ART;M;Inc2;3;3;Nat;Vis5;3lang;etra_N;grouping of countries mainland   
45;BEL;LGG;ART;M;Inc3;3;3;Loc;Vis5;3lang;etra_N;culture power cohesion rights 
46;BEL;LGG;ART;F;Inc4;4;3;Nat;Vis5;3lang;etra_N;euro power union  
48;BEL;LGG;ART;M;Inc4;4;4;Mul;Vis5;4+lang;etra_N;euro european union stable old mainland well governed
49;BEL;LGG;ART;M;Inc2;4;1;Nat;Vis5;3lang;etra_O;progress old mainland youth new freedom
50;BEL;LGG;ART;F;Inc3;3;3;Nat;Vis_1a4;2lang;etra_N;euro developed countries small mainland european political rules 
51;BEL;LGG;ART;F;Inc2;3;3;Mul;Vis5;2lang;etra_N;money developed countries mainland  
52;BEL;LGG;ART;M;Inc3;2;3;Inf;Vis_1a4;4+lang;etra_N;european union economy association worldwide market development
53;BEL;LGG;ART;M;Inc4;4;4;Glo;Vis5;3lang;etra_O;union euro brussels power 26 countries
54;BEL;LGG;ART;M;Inc3;3;3;Sup;Vis5;0-1lang;etra_N;euro free movement a lot of languages  
55;BEL;LGG;ART;M;Inc4;3;4;Nat;Vis5;3lang;etra_N;union mainland euro culture power
56;BEL;LGG;ART;F;Inc3;4;3;Nat;Vis5;3lang;etra_N;euro    
